Voyage ID,Name of vessel,Year arrived with captives,Total disembarked (IMP),Total embarked (IMP),Duration of captives' crossing (in days),"Voyage duration, homeport to disembarkation (in days)",Crew at first landing of captives,Crew at voyage outset,Standardized Tonnage (IMP),Sterling cash price in Jamaica (IMP),Percentage of captives who died during crossing (IMP),Percentage of women among landed slaves,Outcome of voyage if ship captured,Flag of vessel (IMP),Rig of Vessel,Place where vessel's voyage ended,Percent men,Percent boys,Broad region of captive disembarkation (IMP),Percent girls,Particular outcome,Percent children,Percentage women on voyage,Outcome of voyage for investors,Outcome of voyage for captives,Resistance,Percent male,Percent female,Broad region where voyage began (IMP),Broad region of captive purchase (IMP),Imputed region where voyage began,Date purchase of captives began,Date voyage completed,Region of return,Imputed principal region of captive disembarkation,Imputed Principal region of captive purchase,Date vessel departed Africa,Date voyage began,Imputed Place where vessel's voyage began,Date first disembarkation of captives,Imputed principal port of captive disembarkation,Date departed last place of landing,Imputed principal place of captive purchase,Sources,Enslavers
112,Maria,1820.0,160.0,182.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Schooner,0,0.0,0.0,Caribbean,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,0,Africa,None,",,",",,",None,Cuba,Bight of Biafra and Gulf of Guinea islands,",,",",,",None,"1820,9,14",Havana,",,",Cap Lopez,"  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|Diario del Gobierno de la Habana, Havana, Cuba",nan
1603,Esperança,1837.0,304.0,341.0,0.0,0.0,0.0,12.0,160.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Brig,0,0.0,0.0,Brazil,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Brazil,Africa,Southeast Brazil,",,",",,",None,Southeast Brazil,West Central Africa and St Helena,",,",",,",Rio de Janeiro,"1837,5,7",Maricá,",,","West Central Africa and St Helena, port unspecified","  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.",nan
1970,Margareth,1839.0,444.0,490.0,29.0,0.0,0.0,11.0,70.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Brig,0,0.0,0.0,Brazil,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Brazil,Africa,Bahia,",,",",,",None,Bahia,Bight of Benin,",,",",,","Bahia, place unspecified","1839,10,7","Bahia, place unspecified",",,","Whydah, Ouidah","  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.",nan
2182,0,1842.0,400.0,447.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Patacho,0,0.0,0.0,Brazil,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Brazil,Africa,Southeast Brazil,",,",",,",None,Southeast Brazil,Other Africa,",,",",,",Rio de Janeiro,"1842,2,",Ilha Grande,",,","Africa, port unspecified","  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.",nan
2183,0,1842.0,350.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Patacho,0,0.0,0.0,Brazil,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Brazil,Africa,Southeast Brazil,",,",",,",None,Southeast Brazil,Other Africa,",,",",,",Rio de Janeiro,"1842,4,",Campos,",,","Africa, port unspecified","  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.",nan
2217,0,1841.0,350.0,391.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Patacho,0,0.0,0.0,Brazil,0.0,Voyage completed as intended,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Brazil,Africa,Southeast Brazil,",,",",,",None,Southeast Brazil,West Central Africa and St Helena,",,",",,",Rio de Janeiro,"1841,,",Rio de Janeiro province,",,",Benguela,"  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.",nan
2329,Joseph,1822.0,188.0,209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,British,Denmark / Baltic,0,0,0.0,0.0,0,0.0,"Court of Mixed Commission, Sierra Leone, condemned",0.0,0.0,0,Slaves disembarked in Old World,0,0.0,0.0,Caribbean,Africa,Cuba,",,",",,",None,None,Sierra Leone,",,",",,",Matanzas,",,",None,",,",Gallinhas,"  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  “Foreign Office and Foreign and Commonwealth Office Records from 1782.” Kew, UK, n.d. British National Archives. https://www.nationalarchives.gov.uk/help-with-your-research/research-guides/foreign-commonwealth-correspondence-and-records-from-1782/.",nan
4270,Saint Olof,1858.0,0.0,0.0,0.0,0.0,0.0,0.0,112.0,0.0,0.0,0.0,British,Denmark / Baltic,Schooner,0,0.0,0.0,0,0.0,"Vice-Admiralty Court, Sierra Leone, condemned    ,",0.0,0.0,0,No slaves embarked,0,0.0,0.0,Caribbean,0,Cuba,",,",",,",None,None,None,"1858,4,15",",,",Havana,",,",None,",,",None,"  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.|  Irish University Press Series of British Parliamentary Papers: Slave Trade. Shannon, Irish University Press, n.d.",nan
7548,Diana,1810.0,84.0,87.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09677,British,Denmark / Baltic,Schooner,0,0.90323,0.0,Africa,0.0,"Vice-Admiralty Court, Sierra Leone, restored",0.63095,0.09677,0,Slaves disembarked in Old World,0,0.90323,0.09677000000000002,Caribbean,Africa,St Barthélemy (Sweden),"1810,,",",,",None,Sierra Leone,Windward Coast,"1810,9,10",",,","Gustavia, St Barthélemy","1810,9,",Freetown,",,",Cape Mount (Cape Grand Mount),"  African Institution. Eighth Report of the Directors of the African Institution. Vol. 8. London, UK: Ellerton and Henderson, 1814.|  “ANSOM,” n.d.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Dodson, John. A Report of the Case of the Louis, Forest, Master : Appealed from the Vice-Admirality Court at Sierra Leone, and Determined in the High Court of Admiralty, on the 15th of December, 1817: With an Appendix. London, UK: J. Butterworth & Son, 1817.|  “Records of the High Court of Admiralty and Colonial Vice-Admiralty Courts.” Kew, UK, n.d. British National Archives.|  “Records of the High Court of Admiralty and Colonial Vice-Admiralty Courts.” Kew, UK, n.d. British National Archives.|  Mason, William Powell. A Report of the Case of the Jeune Eugenie : Determined in the Circuit Court of the United States, for the First Circuit, at Boston, December, 1821. Boston, MA, USA: Wells and Lilly, 1822.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  “Liberated African Registers.” Freetown, Sierra Leone, n.d. National Archives of Sierra Leone. https://eap.bl.uk/collection/EAP443-1-17.|  African Institution. Eighth Report of the Directors of the African Institution. Vol. 8. London, UK: Ellerton and Henderson, 1814.|  “ANSOM,” n.d.|  “Colonial Office.” Kew, UK, n.d. British National Archives.|  Dodson, John. A Report of the Case of the Louis, Forest, Master : Appealed from the Vice-Admirality Court at Sierra Leone, and Determined in the High Court of Admiralty, on the 15th of December, 1817: With an Appendix. London, UK: J. Butterworth & Son, 1817.|  “Records of the High Court of Admiralty and Colonial Vice-Admiralty Courts.” Kew, UK, n.d. British National Archives.|  “Records of the High Court of Admiralty and Colonial Vice-Admiralty Courts.” Kew, UK, n.d. British National Archives.|  Mason, William Powell. A Report of the Case of the Jeune Eugenie : Determined in the Circuit Court of the United States, for the First Circuit, at Boston, December, 1821. Boston, MA, USA: Wells and Lilly, 1822.|  Great Britain, Parliamentary Papers:  1777, Accounts and Papers, No 9 1788, XXII  1789, XXIV, XXV, XXVI 1790, XXIX, XXX, XXXI 1790-91, XXXIV 1792, XXXV 1795-96, XLII  1798-99, XLVIII 1799 XLVIII 1801-2, IV  1803-4, X 1806, XII 1813-14, XII 181, n.d.|  “Liberated African Registers.” Freetown, Sierra Leone, n.d. National Archives of Sierra Leone. https://eap.bl.uk/collection/EAP443-1-17.",nan
11385,S Jansburgh (a) Johannesburg,1657.0,259.0,325.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,Yaght,0,0.0,0.0,Caribbean,0.0,Bought at least one slave in Africa - subsequent fate unknown,0.0,0.0,0,"Slaves embarked, transhipped or no further record",0,0.0,0.0,Europe,Africa,Netherlands,",,",",,",None,Hispaniola,Bight of Benin,",,","1657,11,26",Texel,",,","Hispaniola, unspecified",",,",Ardra,Amsterdam City Archives,nan
11409,Wilhelmina Margaretta van Steeman,1798.0,279.0,303.0,0.0,0.0,0.0,0.0,53.4,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,0,0.0,"Arrived in Africa, subsequent fate unknown",0.0,0.0,0,"Slaves embarked, transhipped or no further record",0,0.0,0.0,Europe,Africa,Germany,"1798,,",",,",None,None,Gold Coast,",,","1798,2,2",Hamburg,",,",None,",,",Accra,"  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|New Lloyd's List (later, Lloyd's List), (London, England)",nan
11410,Mercurius,1799.0,279.0,303.0,0.0,0.0,0.0,0.0,117.6,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Europe,Africa,Germany,",,",",,",None,Dutch Guianas,Gold Coast,",,","1798,9,19",Hamburg,"1799,9,","Suriname, place unspecified",",,",Accra,"  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|New Lloyd's List (later, Lloyd's List), (London, England)",nan
11653,S Laurens,1641.0,130.0,150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dutch,Denmark / Baltic,0,0,0.0,0.0,Other,0.0,Captured by Dutch - after embarkation of slaves,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,Africa,Africa,Bight of Biafra and Gulf of Guinea islands,"1641,,",",,",None,Americas,West Central Africa and St Helena,",,",",,",São Tomé or Princes Island,",,","Americas, region unspecified",",,",Luanda,"  “Hof van Holland.” Hague, NL, n.d. Nationaal Archief.|  Boogaart, Ernst van den. “Dataset of Slave Trading Voyages of the First Dutch West India Company.,” n.d.|  “Hof van Holland.” Hague, NL, n.d. Nationaal Archief.|  Boogaart, Ernst van den. “Dataset of Slave Trading Voyages of the First Dutch West India Company.,” n.d.",nan
11689,Liefde (a) Stokholmslot,1660.0,285.0,328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Not captured,Denmark / Baltic,0,0,0.0,0.0,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.0,0.0,0,Slaves disembarked in Americas,0,0.0,0.0,0,Africa,None,",,","1660,,",None,Dutch Caribbean,Other Africa,",,",",,",None,",,",Curaçao,",,","Africa, port unspecified","  De Roever, N. “Twee concurrenten van de eerste West-Indische Compagnie , (1889).” Oud-Holland - Journal for Art of the Low Countries 7 (1889): 195–222.|  De Roever, N. “Twee concurrenten van de eerste West-Indische Compagnie , (1889).” Oud-Holland - Journal for Art of the Low Countries 7 (1889): 195–222.|Amsterdam City Archives",nan
13635,Wilhelm (a) Guillermo,1797.0,186.0,210.0,0.0,0.0,0.0,0.0,51.5,0.0,0.0,0.01863,Not captured,Denmark / Baltic,Balandra,0,0.80745,0.13665,Caribbean,0.03727,Sold slaves in Americas - subsequent fate unknown,0.17391,0.01863,0,Slaves disembarked in Americas,0,0.9441,0.05589999999999995,Caribbean,Africa,Danish West Indies,",,",",,",None,Cuba,Other Africa,",,",",,","Danish West Indies, colony unspecified","1797,3,",Havana,",,","Africa, port unspecified","  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
13680,Malleville,1797.0,221.0,262.0,0.0,0.0,0.0,0.0,73.0,0.0,0.0,0.25792,Not captured,Denmark / Baltic,Fragata,0,0.65158,0.05882,Caribbean,0.03167,Sold slaves in Americas - subsequent fate unknown,0.0905,0.25792,0,Slaves disembarked in Americas,0,0.71041,0.28959,0,Africa,None,",,",",,",None,Cuba,Other Africa,",,",",,",None,"1797,4,",Havana,",,","Africa, port unspecified","  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
13738,Neptune,1798.0,185.0,206.0,0.0,303.0,0.0,0.0,0.0,0.0,0.0,0.07568,Not captured,Denmark / Baltic,Brigantine,0,0.7027,0.17297,Caribbean,0.04865,Sold slaves in Americas - subsequent fate unknown,0.22162,0.07568,0,Slaves disembarked in Americas,0,0.87568,0.12431999999999999,Caribbean,Africa,St Barthélemy (Sweden),",,",",,",None,Cuba,Other Africa,",,","1797,4,25","Gustavia, St Barthélemy","1798,2,22",Havana,",,","Africa, port unspecified","  “ANSOM,” n.d.|  Barcia, Manuel. “Dataset of Slave Vessels Arriving in Cuba, 1790-1810,” n.d. University of Leeds.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  “ANSOM,” n.d.|  Barcia, Manuel. “Dataset of Slave Vessels Arriving in Cuba, 1790-1810,” n.d. University of Leeds.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|Bahama Gazette",nan
13921,Anna,1802.0,152.0,169.0,0.0,0.0,0.0,0.0,49.2,0.0,0.0,0.28947,Not captured,Denmark / Baltic,Brigantine,0,0.60526,0.07895,Caribbean,0.02632,Sold slaves in Americas - subsequent fate unknown,0.10526,0.28947,0,Slaves disembarked in Americas,0,0.68421,0.31579,Caribbean,Africa,Danish West Indies,",,",",,",None,Cuba,Other Africa,",,","1800,11,",St Thomas,"1802,1,",Havana,",,","Africa, port unspecified","  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
13933,Superior,1802.0,250.0,289.0,0.0,0.0,0.0,0.0,93.5,0.0,0.0,0.2,Not captured,Denmark / Baltic,Fragata,0,0.7,0.056,Mainland North America,0.044,Sold slaves in Americas - subsequent fate unknown,0.1,0.2,0,Slaves disembarked in Americas,0,0.756,0.244,Caribbean,Africa,Danish West Indies,",,",",,",None,Florida,Other Africa,",,",",,",St Thomas,"1802,3,","Florida, port unspecified",",,","Africa, port unspecified","  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Landers, Jane. Black Society in Spanish Florida. Blacks in the New World. Urbana, IL, USA: University of Illinois Press, 1999.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Landers, Jane. Black Society in Spanish Florida. Blacks in the New World. Urbana, IL, USA: University of Illinois Press, 1999.|  McMillin, James A. The Final Victims: The Foreign Slave Trade to North America, 1783-1810. Columbia, SC: Univ. of South Carolina Press, 2004.",nan
13941,Teresa,1802.0,170.0,197.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11176,Not captured,Denmark / Baltic,Fragata,0,0.81765,0.00588,Caribbean,0.06471,Sold slaves in Americas - subsequent fate unknown,0.07059,0.11176,0,Slaves disembarked in Americas,0,0.82353,0.17647000000000002,0,Africa,None,",,",",,",None,Cuba,Other Africa,",,",",,",None,"1802,4,",Havana,",,","Africa, port unspecified","  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
13945,Phoenix (a) Fenix,1802.0,170.0,178.0,0.0,0.0,0.0,0.0,31.2,0.0,0.0,0.12353,Not captured,Denmark / Baltic,Goleta,0,0.6,0.16471,Caribbean,0.11176,Sold slaves in Americas - subsequent fate unknown,0.27647,0.12353,0,Slaves disembarked in Americas,0,0.76471,0.23529,Europe,Africa,Germany,",,",",,",None,Cuba,West Central Africa and St Helena,",,","1801,9,21",Hamburg,"1802,5,",Havana,",,",Congo River,"  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
13966,Carol,1802.0,193.0,223.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2228,Not captured,Denmark / Baltic,Fragata,0,0.31606,0.34197,Caribbean,0.11917,Sold slaves in Americas - subsequent fate unknown,0.46114,0.2228,0,Slaves disembarked in Americas,0,0.65803,0.34197,0,Africa,None,",,",",,",None,Cuba,Other Africa,",,",",,",None,"1802,6,",Havana,",,","Africa, port unspecified","  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
14010,Peter and Ann,1802.0,180.0,200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38255,Not captured,Denmark / Baltic,Goleta,0,0.47651,0.14094,Caribbean,0.0,Sold slaves in Americas - subsequent fate unknown,0.14094,0.38255,0,Slaves disembarked in Americas,0,0.61745,0.38254999999999995,Caribbean,Africa,Danish West Indies,",,",",,",None,Cuba,Senegambia and offshore Atlantic,",,",",,",St Thomas,"1802,3,",Havana,",,","Senegambia and offshore Atlantic, port unspecified","  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.|  Hernaes, Per O. Slaves, Danes, and African Coast Society: The Danish Slave Trade from West Africa and Afro-Danish Relations on the Eighteenth Century Gold Coast. Trondheim, NO: University of Trondheim, 1995.|  Klein, Herbert S. “Havana Data-Set.” Madison, WI, USA, n.d. University of Wisconsin Library.",nan
